What faculties are there?;faculties{name}
What departments are there?;departments{name}
What degrees are there?;degrees{name}
Which specializations are there?;specializations{name}
What specializations are there?;specializations{name}
What rooms are there?;rooms{name}
What courses are there?;courses{name}
What buildings are there?;buildings{name}
What are the departments of the faculty of Electrical Engineering and Informatics?;faculties(where:{name:"Electrical Engineering and Informatics"}){hasDepartment{name}}
What are the departments of the faculty of Mechanical Engineering?;faculties(where:{name:"Mechanical Engineering"}){hasDepartment{name}}
What are the departments of the faculty of Economic and Social Sciences?;faculties(where:{name:"Economic and Social Sciences"}){hasDepartment{name}}
What are the departments of the faculty of Natural Sciences?;faculties(where:{name:"Natural Sciences"}){hasDepartment{name}}
What is Alice's neptun code?;people(where:{name:"Alice"}){neptun}
What is Bob's neptun code?;people(where:{name:"Bob"}){neptun}
What is Charlie's neptun code?;people(where:{name:"Charlie"}){neptun}
What is David's neptun code?;people(where:{name:"David"}){neptun}
What is Eve's neptun code?;people(where:{name:"Eve"}){neptun}
What is Frank's neptun code?;people(where:{name:"Frank"}){neptun}
What is Grace's neptun code?;people(where:{name:"Grace"}){neptun}
What is Heidi's neptun code?;people(where:{name:"Heidi"}){neptun}
What is Ivan's neptun code?;people(where:{name:"Ivan"}){neptun}
What is Judy's neptun code?;people(where:{name:"Judy"}){neptun}
What is Alice's email address?;people(where:{name:"Alice"}){email}
What is Bob's email address?;people(where:{name:"Bob"}){email}
What is Charlie's email address?;people(where:{name:"Charlie"}){email}
What is David's email address?;people(where:{name:"David"}){email}
What is Eve's email address?;people(where:{name:"Eve"}){email}
What is Frank's email address?;people(where:{name:"Frank"}){email}
What is Grace's email address?;people(where:{name:"Grace"}){email}
What is Heidi's email address?;people(where:{name:"Heidi"}){email}
What is Ivan's email address?;people(where:{name:"Ivan"}){email}
What is Judy's email address?;people(where:{name:"Judy"}){email}
When is Alice's birthday?;people(where:{name:"Alice"}){birthday}
When is Bob's birthday?;people(where:{name:"Bob"}){birthday}
When is Charlie's birthday?;people(where:{name:"Charlie"}){birthday}
When is David's birthday?;people(where:{name:"David"}){birthday}
When is Eve's birthday?;people(where:{name:"Eve"}){birthday}
When is Frank's birthday?;people(where:{name:"Frank"}){birthday}
When is Grace's birthday?;people(where:{name:"Grace"}){birthday}
When is Heidi's birthday?;people(where:{name:"Heidi"}){birthday}
When is Ivan's birthday?;people(where:{name:"Ivan"}){birthday}
When is Judy's birthday?;people(where:{name:"Judy"}){birthday}
What is Alice studying?;people(where:{name:"Alice"}){studies{name}}
What is Bob studying?;people(where:{name:"Bob"}){studies{name}}
What is Charlie studying?;people(where:{name:"Charlie"}){studies{name}}
What is David studying?;people(where:{name:"David"}){studies{name}}
What is Eve studying?;people(where:{name:"Eve"}){studies{name}}
What is Frank studying?;people(where:{name:"Frank"}){studies{name}}
What is Grace studying?;people(where:{name:"Grace"}){studies{name}}
What is Heidi studying?;people(where:{name:"Heidi"}){studies{name}}
What is Ivan studying?;people(where:{name:"Ivan"}){studies{name}}
What is Judy studying?;people(where:{name:"Judy"}){studies{name}}
What is Alice's degree?;people(where:{name:"Alice"}){studies{name}}
What is Bob's degree?;people(where:{name:"Bob"}){studies{name}}
What is Charlie's degree?;people(where:{name:"Charlie"}){studies{name}}
What is David's degree?;people(where:{name:"David"}){studies{name}}
What is Eve's degree?;people(where:{name:"Eve"}){studies{name}}
What is Frank's degree?;people(where:{name:"Frank"}){studies{name}}
What is Grace's degree?;people(where:{name:"Grace"}){studies{name}}
What is Heidi's degree?;people(where:{name:"Heidi"}){studies{name}}
What is Ivan's degree?;people(where:{name:"Ivan"}){studies{name}}
What is Judy's degree?;people(where:{name:"Judy"}){studies{name}}
What is Alice's specialization?;people(where:{name:"Alice"}){specializesIn{name}}
What is Bob's specialization?;people(where:{name:"Bob"}){specializesIn{name}}
What is Charlie's specialization?;people(where:{name:"Charlie"}){specializesIn{name}}
What is David's specialization?;people(where:{name:"David"}){specializesIn{name}}
What is Eve's specialization?;people(where:{name:"Eve"}){specializesIn{name}}
What is Frank's specialization?;people(where:{name:"Frank"}){specializesIn{name}}
What is Grace's specialization?;people(where:{name:"Grace"}){specializesIn{name}}
What is Heidi's specialization?;people(where:{name:"Heidi"}){specializesIn{name}}
What is Ivan's specialization?;people(where:{name:"Ivan"}){specializesIn{name}}
What is Judy's specialization?;people(where:{name:"Judy"}){specializesIn{name}}
What does Alice specialize in?;people(where:{name:"Alice"}){specializesIn{name}}
What does Bob specialize in?;people(where:{name:"Bob"}){specializesIn{name}}
What does Charlie specialize in?;people(where:{name:"Charlie"}){specializesIn{name}}
What does David specialize in?;people(where:{name:"David"}){specializesIn{name}}
What does Eve specialize in?;people(where:{name:"Eve"}){specializesIn{name}}
What does Frank specialize in?;people(where:{name:"Frank"}){specializesIn{name}}
What does Grace specialize in?;people(where:{name:"Grace"}){specializesIn{name}}
What does Heidi specialize in?;people(where:{name:"Heidi"}){specializesIn{name}}
What does Ivan specialize in?;people(where:{name:"Ivan"}){specializesIn{name}}
What does Judy specialize in?;people(where:{name:"Judy"}){specializesIn{name}}
What specializations are available for the degree of Computer Engineering?;degrees(where:{name:"Computer Engineering"}){hasSpecialization{name}}
What specializations are available for the degree of Electrical Engineering?;degrees(where:{name:"Electrical Engineering"}){hasSpecialization{name}}
What specializations are available for the degree of Mechanical Engineering?;degrees(where:{name:"Mechanical Engineering"}){hasSpecialization{name}}
What specializations are available for the degree of Economics and Management?;degrees(where:{name:"Economics and Management"}){hasSpecialization{name}}
What specializations are available for the degree of Mathematics?;degrees(where:{name:"Mathematics"}){hasSpecialization{name}}
What degrees are available at the faculty of Electrical Engineering and Informatics?;faculties(where:{name:"Electrical Engineering and Informatics"}){hasDegree{name}}
What degrees are available at the faculty of Mechanical Engineering?;faculties(where:{name:"Mechanical Engineering"}){hasDegree{name}}
What degrees are available at the faculty of Economic and Social Sciences?;faculties(where:{name:"Economic and Social Sciences"}){hasDegree{name}}
What degrees are available at the faculty of Natural Sciences?;faculties(where:{name:"Natural Sciences"}){hasDegree{name}}
Which departments are there at the faculty of Electrical Engineering and Informatics?;faculties(where:{name:"Electrical Engineering and Informatics"}){hasDepartment{name}}
Which departments are there at the faculty of Mechanical Engineering?;faculties(where:{name:"Mechanical Engineering"}){hasDepartment{name}}
Which departments are there at the faculty of Economic and Social Sciences?;faculties(where:{name:"Economic and Social Sciences"}){hasDepartment{name}}
Which departments are there at the faculty of Natural Sciences?;faculties(where:{name:"Natural Sciences"}){hasDepartment{name}}
What departments are there at the faculty of Electrical Engineering and Informatics?;faculties(where:{name:"Electrical Engineering and Informatics"}){hasDepartment{name}}
What departments are there at the faculty of Mechanical Engineering?;faculties(where:{name:"Mechanical Engineering"}){hasDepartment{name}}
What departments are there at the faculty of Economic and Social Sciences?;faculties(where:{name:"Economic and Social Sciences"}){hasDepartment{name}}
What departments are there at the faculty of Natural Sciences?;faculties(where:{name:"Natural Sciences"}){hasDepartment{name}}
What departments are available at the faculty of Electrical Engineering and Informatics?;faculties(where:{name:"Electrical Engineering and Informatics"}){hasDepartment{name}}
What departments are available at the faculty of Mechanical Engineering?;faculties(where:{name:"Mechanical Engineering"}){hasDepartment{name}}
What departments are available at the faculty of Economic and Social Sciences?;faculties(where:{name:"Economic and Social Sciences"}){hasDepartment{name}}
What departments are available at the faculty of Natural Sciences?;faculties(where:{name:"Natural Sciences"}){hasDepartment{name}}
What departments does the faculty of Electrical Engineering and Informatics have?;faculties(where:{name:"Electrical Engineering and Informatics"}){hasDepartment{name}}
What departments does the faculty of Mechanical Engineering have?;faculties(where:{name:"Mechanical Engineering"}){hasDepartment{name}}
What departments does the faculty of Economic and Social Sciences have?;faculties(where:{name:"Economic and Social Sciences"}){hasDepartment{name}}
What departments does the faculty of Natural Sciences have?;faculties(where:{name:"Natural Sciences"}){hasDepartment{name}}
Which specializations are available at the department of Control Engineering and Information Technology?;departments(where:{name:"Control Engineering and Information Technology"}){hasSpecialization{name}}
Which specializations are available at the department of Measurement and Information Systems?;departments(where:{name:"Measurement and Information Systems"}){hasSpecialization{name}}
Which specializations are available at the department of Automation and Applied Informatics?;departments(where:{name:"Automation and Applied Informatics"}){hasSpecialization{name}}
Which specializations are available at the department of Materials Science and Engineering?;departments(where:{name:"Materials Science and Engineering"}){hasSpecialization{name}}
Which specializations are available at the department of Economics and Management?;departments(where:{name:"Economics and Management"}){hasSpecialization{name}}
Which specializations are available at the department of Humanities and Social Sciences?;departments(where:{name:"Humanities and Social Sciences"}){hasSpecialization{name}}
Which specializations are available at the department of Mathematics?;departments(where:{name:"Mathematics"}){hasSpecialization{name}}
What specializations are there at the department of Control Engineering and Information Technology?;departments(where:{name:"Control Engineering and Information Technology"}){hasSpecialization{name}}
What specializations are there at the department of Measurement and Information Systems?;departments(where:{name:"Measurement and Information Systems"}){hasSpecialization{name}}
What specializations are there at the department of Automation and Applied Informatics?;departments(where:{name:"Automation and Applied Informatics"}){hasSpecialization{name}}
What specializations are there at the department of Materials Science and Engineering?;departments(where:{name:"Materials Science and Engineering"}){hasSpecialization{name}}
What specializations are there at the department of Economics and Management?;departments(where:{name:"Economics and Management"}){hasSpecialization{name}}
What specializations are there at the department of Humanities and Social Sciences?;departments(where:{name:"Humanities and Social Sciences"}){hasSpecialization{name}}
What specializations are there at the department of Mathematics?;departments(where:{name:"Mathematics"}){hasSpecialization{name}}
What specializations does the department of Control Engineering and Information Technology have?;departments(where:{name:"Control Engineering and Information Technology"}){hasSpecialization{name}}
What specializations does department of Measurement and Information Systems have?;departments(where:{name:"Measurement and Information Systems"}){hasSpecialization{name}}
What specializations does the department of Automation and Applied Informatics have?;departments(where:{name:"Automation and Applied Informatics"}){hasSpecialization{name}}
What specializations does the department of Materials Science and Engineering have?;departments(where:{name:"Materials Science and Engineering"}){hasSpecialization{name}}
What specializations does the department of Economics and Management have?;departments(where:{name:"Economics and Management"}){hasSpecialization{name}}
What specializations does the department of Humanities and Social Sciences have?;departments(where:{name:"Humanities and Social Sciences"}){hasSpecialization{name}}
What specializations does the department of Mathematics have?;departments(where:{name:"Mathematics"}){hasSpecialization{name}}
Which building is room IB025 in?;rooms(where:{name:"IB025"}){isIn{name}}
Which building is room IB026 in?;rooms(where:{name:"IB026"}){isIn{name}}
Which building is room IB027 in?;rooms(where:{name:"IB027"}){isIn{name}}
Which building is room IB028 in?;rooms(where:{name:"IB028"}){isIn{name}}
Which building is room IL101 in?;rooms(where:{name:"IL101"}){isIn{name}}
In which building is room IL202?;rooms(where:{name:"IL202"}){isIn{name}}
In which building is room IL203?;rooms(where:{name:"IL203"}){isIn{name}}
In which building is room IL301?;rooms(where:{name:"IL301"}){isIn{name}}
In which building is room IL302?;rooms(where:{name:"IL302"}){isIn{name}}
In which building is room IL303?;rooms(where:{name:"IL303"}){isIn{name}}
Where is room K101?;rooms(where:{name:"K101"}){isIn{name}}
Where is room K102?;rooms(where:{name:"K102"}){isIn{name}}
Where is room K103?;rooms(where:{name:"K103"}){isIn{name}}
Where is room K201?;rooms(where:{name:"K201"}){isIn{name}}
Where is room K202?;rooms(where:{name:"K202"}){isIn{name}}
Where is K101?;rooms(where:{name:"K101"}){isIn{name}}
Where is K102?;rooms(where:{name:"K102"}){isIn{name}}
Where is K103?;rooms(where:{name:"K103"}){isIn{name}}
Where is K201?;rooms(where:{name:"K201"}){isIn{name}}
Where is K202?;rooms(where:{name:"K202"}){isIn{name}}
In what building is K203?;rooms(where:{name:"K203"}){isIn{name}}
In what building is F101?;rooms(where:{name:"F101"}){isIn{name}}
In what building is F103?;rooms(where:{name:"F103"}){isIn{name}}
In what building is F201?;rooms(where:{name:"F201"}){isIn{name}}
In what building is F202?;rooms(where:{name:"F202"}){isIn{name}}
What building is F102 in?;rooms(where:{name:"F102"}){isIn{name}}
What building is F103 in?;rooms(where:{name:"F103"}){isIn{name}}
What building is F201 in?;rooms(where:{name:"F201"}){isIn{name}}
What building is F202 in?;rooms(where:{name:"F202"}){isIn{name}}
What building is F203 in?;rooms(where:{name:"F203"}){isIn{name}}
What are the prerequisites of Introduction to C++?;courses(where:{name:"Introduction to C++"}){prerequisites{name}}
What are the prerequisites of Algorithm Theory?;courses(where:{name:"Algorithm Theory"}){prerequisites{name}}
What are the prerequisites of Finance?;courses(where:{name:"Finance"}){prerequisites{name}}
What are the prerequisites of Software Testing?;courses(where:{name:"Software Testing"}){prerequisites{name}}
What are the prerequisites of Electrical Power Engineering?;courses(where:{name:"Electrical Power Engineering"}){prerequisites{name}}
What are the prerequisites of Networks and Services?;courses(where:{name:"Networks and Services"}){prerequisites{name}}
What courses do i need to take Introduction to C++?;courses(where:{name:"Introduction to C++"}){prerequisites{name}}
What courses do i need to take Algorithm Theory?;courses(where:{name:"Algorithm Theory"}){prerequisites{name}}
What courses do i need to take Finance?;courses(where:{name:"Finance"}){prerequisites{name}}
What courses do i need to take Software Testing?;courses(where:{name:"Software Testing"}){prerequisites{name}}
What courses do i need to take Electrical Power Engineering?;courses(where:{name:"Electrical Power Engineering"}){prerequisites{name}}
What courses do i need to take Networks and Services?;courses(where:{name:"Networks and Services"}){prerequisites{name}}
What prerequisites does Introduction to C++ have?;courses(where:{name:"Introduction to C++"}){prerequisites{name}}
What prerequisites does Algorithm Theory have?;courses(where:{name:"Algorithm Theory"}){prerequisites{name}}
What prerequisites does Finance have?;courses(where:{name:"Finance"}){prerequisites{name}}
What prerequisites does Software Testing have?;courses(where:{name:"Software Testing"}){prerequisites{name}}
What prerequisites does Electrical Power Engineering have?;courses(where:{name:"Electrical Power Engineering"}){prerequisites{name}}
What prerequisites does Networks and Services have?;courses(where:{name:"Networks and Services"}){prerequisites{name}}
What do i need to take Introduction to C++?;courses(where:{name:"Introduction to C++"}){prerequisites{name}}
What do i need to take Algorithm Theory?;courses(where:{name:"Algorithm Theory"}){prerequisites{name}}
What do i need to take Finance?;courses(where:{name:"Finance"}){prerequisites{name}}
What do i need to take Software Testing?;courses(where:{name:"Software Testing"}){prerequisites{name}}
What do i need to take Electrical Power Engineering?;courses(where:{name:"Electrical Power Engineering"}){prerequisites{name}}
What courses are there in the first semester?;courses(where:{semester:1}){name}
What courses are there in the second semester?;courses(where:{semester:2}){name}
What courses are there in the third semester?;courses(where:{semester:3}){name}
What courses are there in the fourth semester?;courses(where:{semester:4}){name}
What courses are there in the fifth semester?;courses(where:{semester:5}){name}
What courses are there in semester 1?;courses(where:{semester:1}){name}
What courses are there in semester 2?;courses(where:{semester:2}){name}
What courses are there in semester 3?;courses(where:{semester:3}){name}
What courses are there in semester 4?;courses(where:{semester:4}){name}
What courses are there in semester 5?;courses(where:{semester:5}){name}
What is the code of Introduction to Programming?;courses(where:{name:"Introduction to Programming"}){code}
What is the code of Introduction to C++?;courses(where:{name:"Introduction to C++"}){code}
What is the code of Algorithm Theory?;courses(where:{name:"Algorithm Theory"}){code}
What is the code of Data Structures?;courses(where:{name:"Data Structures"}){code}
What is the code of Software Engineering?;courses(where:{name:"Software Engineering"}){code}
What is the code of Software Testing?;courses(where:{name:"Software Testing"}){code}
What is the code of Software Project Management?;courses(where:{name:"Software Project Management"}){code}
What is the code of Physics?;courses(where:{name:"Physics"}){code}
What is the code of Chemistry?;courses(where:{name:"Chemistry"}){code}
What is the code of Mathematics?;courses(where:{name:"Mathematics"}){code}
What is the code of Introduction to Economics?;courses(where:{name:"Introduction to Economics"}){code}
What is the code of Management Basics?;courses(where:{name:"Management Basics"}){code}
What is the code of Marketing?;courses(where:{name:"Marketing"}){code}
What is the code of Accounting?;courses(where:{name:"Accounting"}){code}
How many credits is Introduction to Programming?;courses(where:{name:"Introduction to Programming"}){credit}
How many credits is Introduction to C++?;courses(where:{name:"Introduction to C++"}){credit}
How many credits is Algorithm Theory?;courses(where:{name:"Algorithm Theory"}){credit}
How many credits is Data Structures?;courses(where:{name:"Data Structures"}){credit}
How many credits is Software Engineering?;courses(where:{name:"Software Engineering"}){credit}
How many credits is Software Testing?;courses(where:{name:"Software Testing"}){credit}
How many credits is Software Project Management?;courses(where:{name:"Software Project Management"}){credit}
How many credits is Physics?;courses(where:{name:"Physics"}){credit}
How many credits is Chemistry?;courses(where:{name:"Chemistry"}){credit}
How many credits is Mathematics?;courses(where:{name:"Mathematics"}){credit}
How many credits is Introduction to Economics?;courses(where:{name:"Introduction to Economics"}){credit}
How many credits is Management Basics?;courses(where:{name:"Management Basics"}){credit}
